ID PRODUTO,ID ESTOQUE,NOME PRODUTO,CATEGORIA
1001,5001,Notebook EliteBook,Eletrônicos
1002,5002,Smartphone Galaxy S23,Eletrônicos
1003,5003,Mesa de Escritório,Móveis
1004,5004,Cadeira Ergonômica,Móveis
1005,5005,"Monitor 24"" Full HD",Eletrônicos
1006,5006,Teclado Sem Fio,Eletrônicos
1007,5007,Mouse Gamer,Eletrônicos
1008,5008,Impressora Multifuncional,Eletrônicos
1009,5009,HD Externo 1TB,Eletrônicos
1010,5010,Webcam Full HD,Eletrônicos
1011,5011,Headphone Bluetooth,Eletrônicos
1012,5012,Estante em Madeira,Móveis
1013,5013,Armário de Aço,Móveis
1014,5014,Luminária de Mesa,Decoração
1015,5015,Quadro Decorativo,Decoração
1016,5016,Tapete Retangular,Decoração
1017,5017,Cafeteira Elétrica,Eletrodomésticos
1018,5018,Ventilador de Mesa,Eletrodomésticos
1019,5019,Liquidificador,Eletrodomésticos
1020,5020,Ferro de Passar,Eletrodomésticos
1021,5021,Furadeira 12V,Ferramentas
1022,5022,Jogo de Chaves,Ferramentas
1023,5023,Serra Elétrica,Ferramentas
1024,5024,Kit Pincéis,Ferramentas
1025,5025,Mochila para Notebook,Acessórios
1026,5026,Suporte para Monitor,Acessórios
1027,5027,Organizador de Cabos,Acessórios
1028,5028,Carregador Portátil,Acessórios
1029,5029,Fone de Ouvido com Fio,Acessórios
1030,5030,Adaptador USB-C,Acessórios
1031,5031,Livro: Gestão de Projetos,Livros
1032,5032,Livro: Marketing Digital,Livros
1033,5033,Livro: Python para Iniciantes,Livros
1034,5034,Caneta Esferográfica,Papelaria
1035,5035,Caderno Universitário,Papelaria
1036,5036,Grampeador,Papelaria
1037,5037,Calculadora Financeira,Papelaria
1038,5038,Roteador Wi-Fi 5G,Eletrônicos
1039,5039,"Tablet 10""",Eletrônicos
1040,5040,Smartwatch,Eletrônicos
